"Year","Value","Products.and.product.groups"
1990,76.9,"All-items excluding shelter"
1990,78.9,"All-items excluding energy"
1990,77.5,"Food and energy"
1990,82.1,"Fresh fruit and vegetables"
1990,73.4,"Energy"
1990,82.8,"Housing (1986 definition)"
1990,82.2,"Shelter (1986 definition)"
1990,78.4,"Goods and services"
1990,81.6,"Goods"
1990,89.5,"Durable goods"
1990,84,"Semi-durable goods"
1990,78.5,"Non-durable goods"
1990,75.3,"Non-durable goods excluding food purchased from stores"
1990,76.8,"Non-durable goods excluding food purchased from stores and energy"
1990,81.4,"Goods excluding food purchased from stores"
1990,84,"Goods excluding food purchased from stores and energy"
1990,74.9,"Services"
1990,66.4,"Services excluding shelter services"
1991,82.8,"All-items"
1991,83.4,"Food"
1991,84.7,"Food purchased from stores"
1991,80.2,"Meat"
1991,78.3,"Fresh or frozen meat (excluding poultry)"
1991,76.2,"Fresh or frozen beef"
1991,88.3,"Fresh or frozen pork"
1991,74.7,"Other fresh or frozen meat (excluding poultry)"
1991,84.8,"Fresh or frozen poultry"
1991,86,"Fresh or frozen chicken"
1991,76.6,"Other fresh or frozen poultry"
1991,80.9,"Processed meat"
1991,71.8,"Ham and bacon"
1991,86.5,"Other processed meat"
1991,78.6,"Fish, seafood and other marine products"
1991,81.8,"Fish"
1991,77.8,"Fresh or frozen fish (including portions and fish sticks)"
1991,89.9,"Canned and other preserved fish"
1991,70.4,"Seafood and other marine products"
1991,82.6,"Dairy products and eggs"
1991,83.3,"Dairy products"
1991,86,"Fresh milk"
1991,80.3,"Butter"
1991,80.5,"Cheese"
1991,84.1,"Ice cream and related products"
1991,81.9,"Other dairy products"
1991,76.1,"Eggs"
1991,81.6,"Bakery and cereal products (excluding baby food)"
1991,82.1,"Bakery products"
1991,79.4,"Bread, rolls and buns"
1991,89.1,"Cookies and crackers"
1991,81.7,"Other bakery products"
1991,80.4,"Cereal products (excluding baby food)"
1991,80.8,"Rice and rice-based mixes"
1991,80.1,"Breakfast cereal and other cereal products (excluding baby food)"
1991,81,"Pasta products"
1991,79.7,"Flour and flour-based mixes"
1991,97.4,"Fruit, fruit preparations and nuts"
1991,98.5,"Fresh fruit"
1991,75.7,"Apples"
1991,94.3,"Oranges"
1991,108.7,"Bananas"
1991,109.2,"Other fresh fruit"
1991,95.4,"Preserved fruit and fruit preparations"
1991,100.8,"Fruit juices"
1991,85.9,"Other preserved fruit and fruit preparations"
1991,92.2,"Nuts and seeds"
1991,85.7,"Vegetables and vegetable preparations"
1991,81.8,"Fresh vegetables"
1991,67,"Potatoes"
1991,79.1,"Tomatoes"
1991,96.9,"Lettuce"
1991,89.2,"Other fresh vegetables"
1991,98.6,"Preserved vegetables and vegetable preparations"
1991,90,"Frozen and dried vegetables"
1991,103,"Canned vegetables and other vegetable preparations"
1991,88.1,"Other food products and non-alcoholic beverages"
1991,76.2,"Sugar and confectionery"
1991,66,"Sugar and syrup"
1991,81.9,"Confectionery"
1991,80.3,"Edible fats and oils"
1991,78,"Margarine"
1991,84.4,"Other edible fats and oils"
1991,86.2,"Coffee and tea"
1991,88.4,"Coffee"
1991,80.6,"Tea"
1991,85.2,"Condiments, spices and vinegars"
1991,89.7,"Other food preparations"
1991,89.9,"Soup"
1991,87.9,"Baby foods"
1991,95.4,"Frozen food preparations"
1991,88.1,"All other food preparations"
1991,103.8,"Non-alcoholic beverages"
1991,80.4,"Food purchased from restaurants"
1991,79.2,"Food purchased from table-service restaurants"
1991,83.6,"Food purchased from fast food and take-out restaurants"
1991,86.3,"Shelter"
1991,84.3,"Rented accommodation"
1991,84.3,"Rent"
1991,81.2,"Tenants' insurance premiums"
1991,91,"Tenants' maintenance, repairs and other expenses"
1991,92.5,"Owned accommodation"
1991,118.8,"Mortgage interest cost"
1991,86.7,"Homeowners' replacement cost"
1991,78,"Property taxes and other special charges"
1991,73.2,"Homeowners' home and mortgage insurance"
1991,83.3,"Homeowners' maintenance and repairs"
1991,71.9,"Water, fuel and electricity"
1991,78.6,"Electricity"
1991,67.2,"Water"
1991,57.1,"Natural gas"
1991,78.7,"Fuel oil and other fuels"
1991,87.4,"Household operations, furnishings and equipment"
1991,84,"Household operations"
1991,83.3,"Communications"
1991,84.6,"Telephone services"
1991,70.7,"Postal and other communications services"
1991,80.1,"Child care and housekeeping services"
1991,81.2,"Child care services"
1991,76.7,"Housekeeping services"
1991,96.8,"Household cleaning products"
1991,96,"Detergents and soaps (other than personal care)"
1991,97.6,"Other household cleaning products"
1991,78.1,"Paper, plastic and aluminum foil supplies"
1991,75.5,"Paper supplies"
1991,89.4,"Plastic and aluminum foil supplies"
1991,86.4,"Other household goods and services"
1991,87.8,"Pet food and supplies"
1991,85.6,"Seeds, plants and cut flowers"
1991,89.6,"Other horticultural goods"
1991,105.8,"Other household supplies"
1991,93,"Household furnishings and equipment"
1991,91.1,"Furniture and household textiles"
1991,89.9,"Furniture"
1991,91,"Upholstered furniture"
1991,84.2,"Wooden furniture"
1991,92.3,"Household textiles"
1991,92.3,"Window coverings"
1991,96.9,"Bedding and other household textiles"
1991,80.7,"Area rugs and mats"
1991,99.4,"Household equipment"
1991,100.7,"Household appliances"
1991,105.7,"Cooking appliances"
1991,100.2,"Refrigerators and freezers"
1991,97.2,"Laundry and dishwashing appliances"
1991,99.9,"Other household appliances"
1991,89.8,"Non-electric kitchen utensils, tableware and cookware"
1991,100,"Household tools (including lawn, garden and snow removal equipment)"
1991,75.4,"Services related to household furnishings and equipment"
1991,94.3,"Clothing and footwear"
1991,95.2,"Clothing"
1991,95.8,"Women's clothing"
1991,94.5,"Men's clothing"
1991,95.5,"Children's clothing"
1991,95.3,"Footwear"
1991,89.7,"Women's footwear (excluding athletic)"
1991,91,"Men's footwear (excluding athletic)"
1991,112.1,"Athletic footwear"
1991,98.1,"Clothing accessories, watches and jewellery"
1991,94,"Leather clothing accessories"
1991,98.4,"Watches"
1991,102.2,"Jewellery"
1991,82,"Clothing material, notions and services"
1991,91,"Clothing material and notions"
1991,84.7,"Laundry services"
1991,79.9,"Dry cleaning services"
1991,78,"Other clothing services"
1991,72.9,"Transportation"
1991,74.5,"Private transportation"
1991,76.7,"Purchase, leasing and rental of passenger vehicles"
1991,76,"Purchase and leasing of passenger vehicles"
1991,76.1,"Purchase of passenger vehicles"
1991,81.8,"Rental of passenger vehicles"
1991,74.6,"Operation of passenger vehicles"
1991,81.5,"Gasoline"
1991,86.5,"Passenger vehicle parts, maintenance and repairs"
1991,96,"Passenger vehicle parts, accessories and supplies"
1991,82.5,"Passenger vehicle maintenance and repair services"
1991,62.3,"Other passenger vehicle operating expenses"
1991,58.5,"Passenger vehicle insurance premiums"
1991,84.5,"Passenger vehicle registration fees"
1991,103.2,"Drivers' licences"
1991,70,"Parking fees"
1991,90.3,"All other passenger vehicle operating expenses"
1991,58.6,"Public transportation"
1991,66.4,"Local and commuter transportation"
1991,61.7,"City bus and subway transportation"
1991,83.2,"Taxi and other local and commuter transportation services"
1991,54.1,"Inter-city transportation"
1991,53,"Air transportation"
1991,61.2,"Rail, highway bus and other inter-city transportation"
1991,84.7,"Health and personal care"
1991,80.4,"Health care"
1991,88.5,"Health care goods"
1991,84.9,"Medicinal and pharmaceutical products"
1991,83,"Prescribed medicines (excluding medicinal cannabis)"
1991,87.3,"Non-prescribed medicines"
1991,94.5,"Eye care goods"
1991,99.1,"Other health care goods"
1991,71.4,"Health care services"
1991,72.4,"Dental care services"
1991,88,"Personal care"
1991,94.6,"Personal care supplies and equipment"
1991,104.2,"Personal soap"
1991,92.7,"Toiletry items and cosmetics"
1991,127,"Oral-hygiene products"
1991,88.4,"Other personal care supplies and equipment"
1991,78.8,"Personal care services"
1991,78.3,"Recreation, education and reading"
1991,86.6,"Recreation"
1991,139.8,"Recreational equipment and services (excluding recreational vehicles)"
1991,94.8,"Sporting and exercise equipment"
1991,101,"Toys, games (excluding video games) and hobby supplies"
1991,126.5,"Photographic equipment and supplies"
1991,104.7,"Recreational services"
1991,75.4,"Purchase and operation of recreational vehicles"
1991,73.9,"Purchase of recreational vehicles and outboard motors"
1991,78.8,"Operation of recreational vehicles"
1991,111,"Home entertainment equipment, parts and services"
1991,134.3,"Audio equipment"
1991,157,"Video equipment"
1991,72.2,"Rental of digital media"
1991,89.2,"Other home entertainment equipment, parts and services"
1991,70.9,"Travel services"
1991,79,"Traveller accommodation"
1991,60.3,"Travel tours"
1991,65.5,"Other cultural and recreational services"
1991,63.1,"Spectator entertainment (excluding video and audio subscription services)"
1991,58.7,"Video and audio subscription services"
1991,73,"Use of recreational facilities and services"
1991,57.4,"Education and reading"
1991,51.1,"Education"
1991,42.7,"Tuition fees"
1991,77,"Other lessons, courses and education services"
1991,72.3,"Reading material (excluding textbooks)"
1991,72.2,"Newspapers"
1991,68.9,"Magazines and periodicals"
1991,74.7,"Books and reading material (excluding textbooks)"
1991,76.4,"Alcoholic beverages, tobacco products and recreational cannabis"
1991,80.8,"Alcoholic beverages"
1991,82.2,"Alcoholic beverages served in licensed establishments"
1991,83.2,"Beer served in licensed establishments"
1991,80.7,"Liquor served in licensed establishments"
1991,80,"Alcoholic beverages purchased from stores"
1991,74.6,"Beer purchased from stores"
1991,81.5,"Wine purchased from stores"
1991,89.4,"Liquor purchased from stores"
1991,80.6,"Tobacco products and smokers' supplies"
1991,81.3,"Cigarettes"
1991,82.1,"All-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes"
1991,81.7,"All-items excluding eight of the most volatile components as defined by the Bank of Canada"
1991,82.6,"All-items excluding food"
1991,83.4,"All-items excluding food and energy"
1991,81.2,"All-items excluding mortgage interest cost"
1991,82.6,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis"
1991,82.8,"All-items excluding alcoholic beverages and recreational cannabis"
1991,82.5,"All-items excluding tobacco products and smokers' supplies and recreational cannabis"
1991,81.4,"All-items excluding shelter"
1991,83.4,"All-items excluding energy"
1991,81.2,"Food and energy"
1991,89.8,"Fresh fruit and vegetables"
1991,77,"Energy"
1991,86.4,"Housing (1986 definition)"
1991,86,"Shelter (1986 definition)"
1991,82.8,"Goods and services"
1991,85.7,"Goods"
1991,89.4,"Durable goods"
1991,91.9,"Semi-durable goods"
1991,83.2,"Non-durable goods"
1991,82,"Non-durable goods excluding food purchased from stores"
1991,85.7,"Non-durable goods excluding food purchased from stores and energy"
1991,86.1,"Goods excluding food purchased from stores"
1991,88.9,"Goods excluding food purchased from stores and energy"
1991,79.6,"Services"
1991,72.4,"Services excluding shelter services"
1992,84,"All-items"
1992,83.1,"Food"
1992,83.4,"Food purchased from stores"
1992,78.7,"Meat"
1992,77,"Fresh or frozen meat (excluding poultry)"
1992,75.3,"Fresh or frozen beef"
1992,84.2,"Fresh or frozen pork"
1992,75.3,"Other fresh or frozen meat (excluding poultry)"
1992,84.4,"Fresh or frozen poultry"
1992,85.7,"Fresh or frozen chicken"
1992,76.1,"Other fresh or frozen poultry"
1992,78.8,"Processed meat"
1992,67.3,"Ham and bacon"
1992,85.9,"Other processed meat"
1992,81.2,"Fish, seafood and other marine products"
1992,83.4,"Fish"
1992,80,"Fresh or frozen fish (including portions and fish sticks)"
1992,89.7,"Canned and other preserved fish"
1992,75.6,"Seafood and other marine products"
1992,83.2,"Dairy products and eggs"
1992,84.1,"Dairy products"
1992,86.4,"Fresh milk"
1992,79,"Butter"
1992,82.5,"Cheese"
1992,86.5,"Ice cream and related products"
1992,82.3,"Other dairy products"
1992,74.7,"Eggs"
1992,82.4,"Bakery and cereal products (excluding baby food)"
1992,83.9,"Bakery products"
1992,82.2,"Bread, rolls and buns"
1992,88.6,"Cookies and crackers"
1992,84,"Other bakery products"
1992,78.8,"Cereal products (excluding baby food)"
1992,79.6,"Rice and rice-based mixes"
1992,78.2,"Breakfast cereal and other cereal products (excluding baby food)"
1992,79.8,"Pasta products"
1992,77.7,"Flour and flour-based mixes"
1992,91.4,"Fruit, fruit preparations and nuts"
1992,88.5,"Fresh fruit"
1992,77.8,"Apples"
1992,65.2,"Oranges"
1992,104.5,"Bananas"
1992,100.2,"Other fresh fruit"
1992,96.4,"Preserved fruit and fruit preparations"
1992,101.2,"Fruit juices"
1992,88,"Other preserved fruit and fruit preparations"
1992,90.9,"Nuts and seeds"
1992,85,"Vegetables and vegetable preparations"
1992,81.8,"Fresh vegetables"
1992,58.9,"Potatoes"
1992,85.9,"Tomatoes"
1992,95.2,"Lettuce"
1992,90.5,"Other fresh vegetables"
1992,95.7,"Preserved vegetables and vegetable preparations"
1992,88.1,"Frozen and dried vegetables"
1992,99.6,"Canned vegetables and other vegetable preparations"
1992,85.5,"Other food products and non-alcoholic beverages"
1992,70.4,"Sugar and confectionery"
1992,59.2,"Sugar and syrup"
1992,76.5,"Confectionery"
1992,79.3,"Edible fats and oils"
1992,76.9,"Margarine"
1992,84,"Other edible fats and oils"
1992,80.5,"Coffee and tea"
1992,80.5,"Coffee"
1992,80.4,"Tea"
1992,84.2,"Condiments, spices and vinegars"
1992,89.4,"Other food preparations"
1992,92.1,"Soup"
1992,88.8,"Baby foods"
1992,95.6,"Frozen food preparations"
1992,86.6,"All other food preparations"
1992,98.8,"Non-alcoholic beverages"
1992,81.9,"Food purchased from restaurants"
1992,80.5,"Food purchased from table-service restaurants"
1992,85.3,"Food purchased from fast food and take-out restaurants"
1992,87.9,"Shelter"
1992,86.6,"Rented accommodation"
1992,86.6,"Rent"
1992,82.7,"Tenants' insurance premiums"
1992,92,"Tenants' maintenance, repairs and other expenses"
1992,92.9,"Owned accommodation"
1992,114.5,"Mortgage interest cost"
1992,87.5,"Homeowners' replacement cost"
1992,82.6,"Property taxes and other special charges"
1992,74.4,"Homeowners' home and mortgage insurance"
1992,84.1,"Homeowners' maintenance and repairs"
1992,75.3,"Water, fuel and electricity"
1992,83.7,"Electricity"
1992,72.6,"Water"
1992,59.2,"Natural gas"
1992,75.8,"Fuel oil and other fuels"
1992,87.9,"Household operations, furnishings and equipment"
1992,84.9,"Household operations"
1992,84.4,"Communications"
1992,85.4,"Telephone services"
1992,74.9,"Postal and other communications services"
1992,85.2,"Child care and housekeeping services"
1992,86.8,"Child care services"
1992,80.3,"Housekeeping services"
1992,94,"Household cleaning products"
1992,92.8,"Detergents and soaps (other than personal care)"
1992,95.1,"Other household cleaning products"
1992,76.6,"Paper, plastic and aluminum foil supplies"
1992,74.5,"Paper supplies"
1992,86.3,"Plastic and aluminum foil supplies"
1992,86.9,"Other household goods and services"
1992,86.2,"Pet food and supplies"
1992,86.2,"Seeds, plants and cut flowers"
1992,88.3,"Other horticultural goods"
1992,107.8,"Other household supplies"
1992,92.7,"Household furnishings and equipment"
1992,90.9,"Furniture and household textiles"
1992,89.7,"Furniture"
1992,88.9,"Upholstered furniture"
1992,84.7,"Wooden furniture"
1992,92.8,"Household textiles"
1992,93.4,"Window coverings"
1992,97.2,"Bedding and other household textiles"
1992,79.7,"Area rugs and mats"
1992,98.4,"Household equipment"
1992,99.4,"Household appliances"
1992,103.5,"Cooking appliances"
1992,99.2,"Refrigerators and freezers"
1992,96.7,"Laundry and dishwashing appliances"
1992,98.5,"Other household appliances"
1992,89.1,"Non-electric kitchen utensils, tableware and cookware"
1992,99.4,"Household tools (including lawn, garden and snow removal equipment)"
1992,77.5,"Services related to household furnishings and equipment"
1992,95.1,"Clothing and footwear"
1992,96.2,"Clothing"
1992,96.6,"Women's clothing"
1992,95.8,"Men's clothing"
1992,96.8,"Children's clothing"
1992,95.1,"Footwear"
1992,88.7,"Women's footwear (excluding athletic)"
1992,92,"Men's footwear (excluding athletic)"
1992,111.8,"Athletic footwear"
1992,98.2,"Clothing accessories, watches and jewellery"
1992,93.6,"Leather clothing accessories"
1992,94.9,"Watches"
1992,103.5,"Jewellery"
1992,83.2,"Clothing material, notions and services"
1992,90.4,"Clothing material and notions"
1992,85.3,"Laundry services"
1992,81.9,"Dry cleaning services"
1992,78.9,"Other clothing services"
1992,74.4,"Transportation"
1992,75.9,"Private transportation"
1992,79.5,"Purchase, leasing and rental of passenger vehicles"
1992,79.2,"Purchase and leasing of passenger vehicles"
1992,79.2,"Purchase of passenger vehicles"
1992,78.7,"Rental of passenger vehicles"
1992,74.8,"Operation of passenger vehicles"
1992,78.6,"Gasoline"
1992,85.6,"Passenger vehicle parts, maintenance and repairs"
1992,91.3,"Passenger vehicle parts, accessories and supplies"
1992,83,"Passenger vehicle maintenance and repair services"
1992,66,"Other passenger vehicle operating expenses"
1992,61.9,"Passenger vehicle insurance premiums"
1992,94.5,"Passenger vehicle registration fees"
1992,104.3,"Drivers' licences"
1992,73.6,"Parking fees"
1992,90,"All other passenger vehicle operating expenses"
1992,60.7,"Public transportation"
1992,73.1,"Local and commuter transportation"
1992,70.2,"City bus and subway transportation"
1992,84.4,"Taxi and other local and commuter transportation services"
1992,53.4,"Inter-city transportation"
1992,51.3,"Air transportation"
1992,66,"Rail, highway bus and other inter-city transportation"
1992,86.6,"Health and personal care"
1992,83.3,"Health care"
1992,90.2,"Health care goods"
1992,86.8,"Medicinal and pharmaceutical products"
1992,86.4,"Prescribed medicines (excluding medicinal cannabis)"
1992,87.1,"Non-prescribed medicines"
1992,96,"Eye care goods"
1992,98.4,"Other health care goods"
1992,75.5,"Health care services"
1992,76.5,"Dental care services"
1992,89.2,"Personal care"
1992,94.5,"Personal care supplies and equipment"
1992,104.4,"Personal soap"
1992,93.1,"Toiletry items and cosmetics"
1992,117.5,"Oral-hygiene products"
1992,89.2,"Other personal care supplies and equipment"
1992,81.7,"Personal care services"
1992,79.2,"Recreation, education and reading"
1992,86.1,"Recreation"
1992,136.8,"Recreational equipment and services (excluding recreational vehicles)"
1992,94.2,"Sporting and exercise equipment"
1992,100.1,"Toys, games (excluding video games) and hobby supplies"
1992,119.5,"Photographic equipment and supplies"
1992,101.2,"Recreational services"
1992,76.6,"Purchase and operation of recreational vehicles"
1992,75.3,"Purchase of recreational vehicles and outboard motors"
1992,79.5,"Operation of recreational vehicles"
1992,105.9,"Home entertainment equipment, parts and services"
1992,128.2,"Audio equipment"
1992,146.6,"Video equipment"
1992,73.4,"Rental of digital media"
1992,92.3,"Other home entertainment equipment, parts and services"
1992,69,"Travel services"
1992,78.3,"Traveller accommodation"
1992,57.5,"Travel tours"
1992,67.9,"Other cultural and recreational services"
1992,66.5,"Spectator entertainment (excluding video and audio subscription services)"
1992,60.5,"Video and audio subscription services"
1992,75.1,"Use of recreational facilities and services"
1992,61.3,"Education and reading"
1992,56.2,"Education"
1992,48.6,"Tuition fees"
1992,80.2,"Other lessons, courses and education services"
1992,73.3,"Reading material (excluding textbooks)"
1992,73,"Newspapers"
1992,70.4,"Magazines and periodicals"
1992,75.3,"Books and reading material (excluding textbooks)"
1992,81,"Alcoholic beverages, tobacco products and recreational cannabis"
1992,84,"Alcoholic beverages"
1992,84.3,"Alcoholic beverages served in licensed establishments"
1992,84.6,"Beer served in licensed establishments"
1992,82.9,"Liquor served in licensed establishments"
1992,83.9,"Alcoholic beverages purchased from stores"
1992,79,"Beer purchased from stores"
1992,84.9,"Wine purchased from stores"
1992,92.9,"Liquor purchased from stores"
1992,87.4,"Tobacco products and smokers' supplies"
1992,88.1,"Cigarettes"
1992,83.6,"All-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes"
1992,83.3,"All-items excluding eight of the most volatile components as defined by the Bank of Canada"
1992,84.2,"All-items excluding food"
1992,85.1,"All-items excluding food and energy"
1992,82.6,"All-items excluding mortgage interest cost"
1992,83.6,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis"
1992,84,"All-items excluding alcoholic beverages and recreational cannabis"
1992,83.6,"All-items excluding tobacco products and smokers' supplies and recreational cannabis"
1992,82.5,"All-items excluding shelter"
1992,84.7,"All-items excluding energy"
1992,81,"Food and energy"
1992,85,"Fresh fruit and vegetables"
1992,77.2,"Energy"
1992,87.6,"Housing (1986 definition)"
1992,87.5,"Shelter (1986 definition)"
1992,84,"Goods and services"
1992,86.4,"Goods"
1992,90.4,"Durable goods"
1992,92.5,"Semi-durable goods"
1992,83.8,"Non-durable goods"
1992,83.7,"Non-durable goods excluding food purchased from stores"
1992,88.6,"Non-durable goods excluding food purchased from stores and energy"
1992,87.4,"Goods excluding food purchased from stores"
1992,90.5,"Goods excluding food purchased from stores and energy"
1992,81.4,"Services"
1992,74.6,"Services excluding shelter services"
1993,85.6,"All-items"
1993,84.5,"Food"
1993,85,"Food purchased from stores"
1993,81.7,"Meat"
1993,81,"Fresh or frozen meat (excluding poultry)"
1993,79.3,"Fresh or frozen beef"
1993,87.5,"Fresh or frozen pork"
1993,80,"Other fresh or frozen meat (excluding poultry)"
1993,86.3,"Fresh or frozen poultry"
1993,87.5,"Fresh or frozen chicken"
1993,78.6,"Other fresh or frozen poultry"
1993,80.4,"Processed meat"
1993,69.9,"Ham and bacon"
1993,86.9,"Other processed meat"
1993,85,"Fish, seafood and other marine products"
1993,87.7,"Fish"
1993,82.4,"Fresh or frozen fish (including portions and fish sticks)"
1993,99.1,"Canned and other preserved fish"
1993,78.4,"Seafood and other marine products"
1993,82.8,"Dairy products and eggs"
1993,83.7,"Dairy products"
1993,85.5,"Fresh milk"
1993,78.7,"Butter"
1993,83.3,"Cheese"
1993,83.8,"Ice cream and related products"
1993,81.8,"Other dairy products"
1993,73.4,"Eggs"
1993,83.5,"Bakery and cereal products (excluding baby food)"
1993,84.5,"Bakery products"
1993,83,"Bread, rolls and buns"
1993,89,"Cookies and crackers"
1993,84,"Other bakery products"
1993,81,"Cereal products (excluding baby food)"
1993,79.5,"Rice and rice-based mixes"
1993,81.9,"Breakfast cereal and other cereal products (excluding baby food)"
1993,80.3,"Pasta products"
1993,79.6,"Flour and flour-based mixes"
1993,88.9,"Fruit, fruit preparations and nuts"
1993,87.9,"Fresh fruit"
1993,73.1,"Apples"
1993,71.9,"Oranges"
1993,104.1,"Bananas"
1993,98.5,"Other fresh fruit"
1993,90.5,"Preserved fruit and fruit preparations"
1993,92.2,"Fruit juices"
1993,87.3,"Other preserved fruit and fruit preparations"
1993,86.7,"Nuts and seeds"
1993,90.8,"Vegetables and vegetable preparations"
1993,89.8,"Fresh vegetables"
1993,66.7,"Potatoes"
1993,82.3,"Tomatoes"
1993,110.6,"Lettuce"
1993,100.8,"Other fresh vegetables"
1993,94.9,"Preserved vegetables and vegetable preparations"
1993,87.8,"Frozen and dried vegetables"
1993,98.6,"Canned vegetables and other vegetable preparations"
1993,86.8,"Other food products and non-alcoholic beverages"
1993,73.7,"Sugar and confectionery"
1993,63.9,"Sugar and syrup"
1993,79.1,"Confectionery"
1993,79.4,"Edible fats and oils"
1993,77.4,"Margarine"
1993,83.3,"Other edible fats and oils"
1993,78.3,"Coffee and tea"
1993,77.5,"Coffee"
1993,80,"Tea"
1993,84.2,"Condiments, spices and vinegars"
1993,89.9,"Other food preparations"
1993,95.1,"Soup"
1993,89.1,"Baby foods"
1993,97.7,"Frozen food preparations"
1993,86,"All other food preparations"
1993,104.6,"Non-alcoholic beverages"
1993,83,"Food purchased from restaurants"
1993,81.2,"Food purchased from table-service restaurants"
1993,87,"Food purchased from fast food and take-out restaurants"
1993,89.1,"Shelter"
1993,88.4,"Rented accommodation"
1993,88.5,"Rent"
1993,83.9,"Tenants' insurance premiums"
1993,87.7,"Tenants' maintenance, repairs and other expenses"
1993,93.2,"Owned accommodation"
1993,108.9,"Mortgage interest cost"
1993,88.3,"Homeowners' replacement cost"
1993,88.2,"Property taxes and other special charges"
1993,77.4,"Homeowners' home and mortgage insurance"
1993,82.2,"Homeowners' maintenance and repairs"
1993,78.3,"Water, fuel and electricity"
1993,87.2,"Electricity"
1993,76.9,"Water"
1993,61.5,"Natural gas"
1993,77.1,"Fuel oil and other fuels"
1993,88.7,"Household operations, furnishings and equipment"
1993,86.1,"Household operations"
1993,85.3,"Communications"
1993,85.9,"Telephone services"
1993,78.3,"Postal and other communications services"
1993,88.1,"Child care and housekeeping services"
1993,90,"Child care services"
1993,82.4,"Housekeeping services"
1993,94.8,"Household cleaning products"
1993,94.2,"Detergents and soaps (other than personal care)"
1993,95.4,"Other household cleaning products"
1993,77.5,"Paper, plastic and aluminum foil supplies"
1993,75.5,"Paper supplies"
1993,86.8,"Plastic and aluminum foil supplies"
1993,87.1,"Other household goods and services"
1993,86.6,"Pet food and supplies"
1993,85.2,"Seeds, plants and cut flowers"
1993,88.5,"Other horticultural goods"
1993,105.7,"Other household supplies"
1993,93.1,"Household furnishings and equipment"
1993,91.5,"Furniture and household textiles"
1993,91.2,"Furniture"
1993,92.2,"Upholstered furniture"
1993,85.5,"Wooden furniture"
1993,91.4,"Household textiles"
1993,94.5,"Window coverings"
1993,94.3,"Bedding and other household textiles"
1993,75.7,"Area rugs and mats"
1993,98.4,"Household equipment"
1993,98.9,"Household appliances"
1993,103.1,"Cooking appliances"
1993,99.5,"Refrigerators and freezers"
1993,96.2,"Laundry and dishwashing appliances"
1993,97.4,"Other household appliances"
1993,91.1,"Non-electric kitchen utensils, tableware and cookware"
1993,98.9,"Household tools (including lawn, garden and snow removal equipment)"
1993,79.2,"Services related to household furnishings and equipment"
1993,96,"Clothing and footwear"
1993,97.1,"Clothing"
1993,97.3,"Women's clothing"
1993,96.7,"Men's clothing"
1993,98.8,"Children's clothing"
1993,96.4,"Footwear"
1993,89.6,"Women's footwear (excluding athletic)"
1993,92.6,"Men's footwear (excluding athletic)"
1993,115.5,"Athletic footwear"
1993,97.6,"Clothing accessories, watches and jewellery"
1993,94,"Leather clothing accessories"
1993,95.7,"Watches"
1993,100.5,"Jewellery"
1993,85,"Clothing material, notions and services"
1993,91.3,"Clothing material and notions"
1993,87,"Laundry services"
1993,84.4,"Dry cleaning services"
1993,79.5,"Other clothing services"
1993,76.8,"Transportation"
1993,78.1,"Private transportation"
1993,82.8,"Purchase, leasing and rental of passenger vehicles"
1993,82.6,"Purchase and leasing of passenger vehicles"
1993,82.6,"Purchase of passenger vehicles"
1993,79.3,"Rental of passenger vehicles"
1993,76.2,"Operation of passenger vehicles"
1993,77.4,"Gasoline"
1993,85.7,"Passenger vehicle parts, maintenance and repairs"
1993,90.2,"Passenger vehicle parts, accessories and supplies"
1993,83.6,"Passenger vehicle maintenance and repair services"
1993,70.3,"Other passenger vehicle operating expenses"
1993,66.6,"Passenger vehicle insurance premiums"
1993,96.8,"Passenger vehicle registration fees"
1993,104.9,"Drivers' licences"
1993,77.4,"Parking fees"
1993,88.7,"All other passenger vehicle operating expenses"
1993,63.6,"Public transportation"
1993,75.7,"Local and commuter transportation"
1993,73.3,"City bus and subway transportation"
1993,85.3,"Taxi and other local and commuter transportation services"
1993,56.6,"Inter-city transportation"
1993,54.5,"Air transportation"
1993,68.3,"Rail, highway bus and other inter-city transportation"
1993,88.9,"Health and personal care"
1993,85.6,"Health care"
1993,91.9,"Health care goods"
1993,89.4,"Medicinal and pharmaceutical products"
1993,89.4,"Prescribed medicines (excluding medicinal cannabis)"
1993,89,"Non-prescribed medicines"
1993,96.3,"Eye care goods"
1993,97.9,"Other health care goods"
1993,78.3,"Health care services"
1993,79.4,"Dental care services"
1993,91.5,"Personal care"
1993,97.1,"Personal care supplies and equipment"
1993,107.2,"Personal soap"
1993,95.2,"Toiletry items and cosmetics"
1993,121,"Oral-hygiene products"
1993,93.1,"Other personal care supplies and equipment"
1993,83.7,"Personal care services"
1993,81.1,"Recreation, education and reading"
1993,87.5,"Recreation"
1993,137.7,"Recreational equipment and services (excluding recreational vehicles)"
1993,96.2,"Sporting and exercise equipment"
1993,101,"Toys, games (excluding video games) and hobby supplies"
1993,123.2,"Photographic equipment and supplies"
1993,100,"Recreational services"
1993,78.7,"Purchase and operation of recreational vehicles"
