"Year","Age.group","Value","Sex"
2004,"25 to 54 years",57800,"Males"
2004,"25 to 54 years",36400,"Females"
2004,"25 to 34 years",41700,"Both sexes"
2004,"25 to 34 years",50100,"Males"
2004,"25 to 34 years",34800,"Females"
2004,"35 to 44 years",47600,"Both sexes"
2004,"35 to 44 years",61600,"Males"
2004,"35 to 44 years",36900,"Females"
2004,"45 to 54 years",48700,"Both sexes"
2004,"45 to 54 years",62900,"Males"
2004,"45 to 54 years",37800,"Females"
2004,"55 to 64 years",36900,"Both sexes"
2004,"55 to 64 years",51500,"Males"
2004,"55 to 64 years",23500,"Females"
2004,"65 years and over",28000,"Both sexes"
2004,"65 years and over",36500,"Males"
2004,"65 years and over",24000,"Females"
2005,"15 years and over",35400,"Both sexes"
2005,"15 years and over",45700,"Males"
2005,"15 years and over",27600,"Females"
2005,"15 to 24 years",12300,"Both sexes"
2005,"15 to 24 years",12700,"Males"
2005,"15 to 24 years",11900,"Females"
2005,"25 to 54 years",46300,"Both sexes"
2005,"25 to 54 years",56900,"Males"
2005,"25 to 54 years",37000,"Females"
2005,"25 to 34 years",41500,"Both sexes"
2005,"25 to 34 years",49500,"Males"
2005,"25 to 34 years",35100,"Females"
2005,"35 to 44 years",48100,"Both sexes"
2005,"35 to 44 years",61000,"Males"
2005,"35 to 44 years",37800,"Females"
2005,"45 to 54 years",49700,"Both sexes"
2005,"45 to 54 years",63800,"Males"
2005,"45 to 54 years",38400,"Females"
2005,"55 to 64 years",39800,"Both sexes"
2005,"55 to 64 years",53200,"Males"
2005,"55 to 64 years",26400,"Females"
2005,"65 years and over",27900,"Both sexes"
2005,"65 years and over",35800,"Males"
2005,"65 years and over",23900,"Females"
2006,"15 years and over",35900,"Both sexes"
2006,"15 years and over",45700,"Males"
2006,"15 years and over",28200,"Females"
2006,"15 to 24 years",12300,"Both sexes"
2006,"15 to 24 years",13000,"Males"
2006,"15 to 24 years",11800,"Females"
2006,"25 to 54 years",47300,"Both sexes"
2006,"25 to 54 years",57100,"Males"
2006,"25 to 54 years",39100,"Females"
2006,"25 to 34 years",42000,"Both sexes"
2006,"25 to 34 years",48500,"Males"
2006,"25 to 34 years",37700,"Females"
2006,"35 to 44 years",48900,"Both sexes"
2006,"35 to 44 years",60800,"Males"
2006,"35 to 44 years",38800,"Females"
2006,"45 to 54 years",50700,"Both sexes"
2006,"45 to 54 years",63400,"Males"
2006,"45 to 54 years",41000,"Females"
2006,"55 to 64 years",40500,"Both sexes"
2006,"55 to 64 years",53500,"Males"
2006,"55 to 64 years",26500,"Females"
2006,"65 years and over",28800,"Both sexes"
2006,"65 years and over",37000,"Males"
2006,"65 years and over",24400,"Females"
2007,"15 years and over",37000,"Both sexes"
2007,"15 years and over",46300,"Males"
2007,"15 years and over",29300,"Females"
2007,"15 to 24 years",13100,"Both sexes"
2007,"15 to 24 years",13500,"Males"
2007,"15 to 24 years",12900,"Females"
2007,"25 to 54 years",48000,"Both sexes"
2007,"25 to 54 years",58100,"Males"
2007,"25 to 54 years",39900,"Females"
2007,"25 to 34 years",42200,"Both sexes"
2007,"25 to 34 years",48400,"Males"
2007,"25 to 34 years",37600,"Females"
2007,"35 to 44 years",50600,"Both sexes"
2007,"35 to 44 years",63300,"Males"
2007,"35 to 44 years",41500,"Females"
2007,"45 to 54 years",51500,"Both sexes"
2007,"45 to 54 years",64100,"Males"
2007,"45 to 54 years",40700,"Females"
2007,"55 to 64 years",41600,"Both sexes"
2007,"55 to 64 years",54300,"Males"
2007,"55 to 64 years",28700,"Females"
2007,"65 years and over",29200,"Both sexes"
2007,"65 years and over",37300,"Males"
2007,"65 years and over",25300,"Females"
2008,"15 years and over",37100,"Both sexes"
2008,"15 years and over",47000,"Males"
2008,"15 years and over",29200,"Females"
2008,"15 to 24 years",13000,"Both sexes"
2008,"15 to 24 years",14200,"Males"
2008,"15 to 24 years",11800,"Females"
2008,"25 to 54 years",49200,"Both sexes"
2008,"25 to 54 years",59700,"Males"
2008,"25 to 54 years",40700,"Females"
2008,"25 to 34 years",44500,"Both sexes"
2008,"25 to 34 years",51600,"Males"
2008,"25 to 34 years",37900,"Females"
2008,"35 to 44 years",51600,"Both sexes"
2008,"35 to 44 years",66300,"Males"
2008,"35 to 44 years",40700,"Females"
2008,"45 to 54 years",52700,"Both sexes"
2008,"45 to 54 years",63800,"Males"
2008,"45 to 54 years",43100,"Females"
2008,"55 to 64 years",39500,"Both sexes"
2008,"55 to 64 years",53400,"Males"
2008,"55 to 64 years",28100,"Females"
2008,"65 years and over",29400,"Both sexes"
2008,"65 years and over",37700,"Males"
2008,"65 years and over",25000,"Females"
2009,"15 years and over",37200,"Both sexes"
2009,"15 years and over",45900,"Males"
2009,"15 years and over",30200,"Females"
2009,"15 to 24 years",12100,"Both sexes"
2009,"15 to 24 years",13400,"Males"
2009,"15 to 24 years",11500,"Females"
2009,"25 to 54 years",48400,"Both sexes"
2009,"25 to 54 years",57000,"Males"
2009,"25 to 54 years",41200,"Females"
2009,"25 to 34 years",43000,"Both sexes"
2009,"25 to 34 years",49000,"Males"
2009,"25 to 34 years",36600,"Females"
2009,"35 to 44 years",51500,"Both sexes"
2009,"35 to 44 years",64800,"Males"
2009,"35 to 44 years",42700,"Females"
2009,"45 to 54 years",51200,"Both sexes"
2009,"45 to 54 years",61000,"Males"
2009,"45 to 54 years",43700,"Females"
2009,"55 to 64 years",42500,"Both sexes"
2009,"55 to 64 years",53100,"Males"
2009,"55 to 64 years",30600,"Females"
2009,"65 years and over",30000,"Both sexes"
2009,"65 years and over",38500,"Males"
2009,"65 years and over",25400,"Females"
2010,"15 years and over",37000,"Both sexes"
2010,"15 years and over",45600,"Males"
2010,"15 years and over",30000,"Females"
2010,"15 to 24 years",13000,"Both sexes"
2010,"15 to 24 years",13800,"Males"
2010,"15 to 24 years",11800,"Females"
2010,"25 to 54 years",49200,"Both sexes"
2010,"25 to 54 years",58300,"Males"
2010,"25 to 54 years",41500,"Females"
2010,"25 to 34 years",43200,"Both sexes"
2010,"25 to 34 years",49800,"Males"
2010,"25 to 34 years",38100,"Females"
2010,"35 to 44 years",52000,"Both sexes"
2010,"35 to 44 years",65500,"Males"
2010,"35 to 44 years",44100,"Females"
2010,"45 to 54 years",52000,"Both sexes"
2010,"45 to 54 years",62700,"Males"
2010,"45 to 54 years",43000,"Females"
2010,"55 to 64 years",41900,"Both sexes"
2010,"55 to 64 years",53100,"Males"
2010,"55 to 64 years",29800,"Females"
2010,"65 years and over",29100,"Both sexes"
2010,"65 years and over",37100,"Males"
2010,"65 years and over",25100,"Females"
2011,"15 years and over",37600,"Both sexes"
2011,"15 years and over",46300,"Males"
2011,"15 years and over",30600,"Females"
2011,"15 to 24 years",13400,"Both sexes"
2011,"15 to 24 years",14400,"Males"
2011,"15 to 24 years",12400,"Females"
2011,"25 to 54 years",49900,"Both sexes"
2011,"25 to 54 years",59700,"Males"
2011,"25 to 54 years",41600,"Females"
2011,"25 to 34 years",43500,"Both sexes"
2011,"25 to 34 years",49000,"Males"
2011,"25 to 34 years",38300,"Females"
2011,"35 to 44 years",54400,"Both sexes"
2011,"35 to 44 years",68200,"Males"
2011,"35 to 44 years",43700,"Females"
2011,"45 to 54 years",51900,"Both sexes"
2011,"45 to 54 years",63200,"Males"
2011,"45 to 54 years",43500,"Females"
2011,"55 to 64 years",42300,"Both sexes"
2011,"55 to 64 years",52500,"Males"
2011,"55 to 64 years",32800,"Females"
2011,"65 years and over",29300,"Both sexes"
2011,"65 years and over",37300,"Males"
2011,"65 years and over",25100,"Females"
2012,"15 years and over",38300,"Both sexes"
2012,"15 years and over",47900,"Males"
2012,"15 years and over",31100,"Females"
2012,"15 to 24 years",12900,"Both sexes"
2012,"15 to 24 years",14000,"Males"
2012,"15 to 24 years",11900,"Females"
2012,"25 to 54 years",49100,"Both sexes"
2012,"25 to 54 years",59900,"Males"
2012,"25 to 54 years",40900,"Females"
2012,"25 to 34 years",42500,"Both sexes"
2012,"25 to 34 years",50000,"Males"
2012,"25 to 34 years",35500,"Females"
2012,"35 to 44 years",52400,"Both sexes"
2012,"35 to 44 years",64700,"Males"
2012,"35 to 44 years",43500,"Females"
2012,"45 to 54 years",53000,"Both sexes"
2012,"45 to 54 years",66100,"Males"
2012,"45 to 54 years",44400,"Females"
2012,"55 to 64 years",45300,"Both sexes"
2012,"55 to 64 years",56900,"Males"
2012,"55 to 64 years",33800,"Females"
2012,"65 years and over",31600,"Both sexes"
2012,"65 years and over",40800,"Males"
2012,"65 years and over",26600,"Females"
2013,"15 years and over",39200,"Both sexes"
2013,"15 years and over",47400,"Males"
2013,"15 years and over",32300,"Females"
2013,"15 to 24 years",12100,"Both sexes"
2013,"15 to 24 years",12700,"Males"
2013,"15 to 24 years",11800,"Females"
2013,"25 to 54 years",50400,"Both sexes"
2013,"25 to 54 years",59200,"Males"
2013,"25 to 54 years",42800,"Females"
2013,"25 to 34 years",42900,"Both sexes"
2013,"25 to 34 years",48400,"Males"
2013,"25 to 34 years",37000,"Females"
2013,"35 to 44 years",54100,"Both sexes"
2013,"35 to 44 years",63400,"Males"
2013,"35 to 44 years",45800,"Females"
2013,"45 to 54 years",55100,"Both sexes"
2013,"45 to 54 years",66100,"Males"
2013,"45 to 54 years",45900,"Females"
2013,"55 to 64 years",46600,"Both sexes"
2013,"55 to 64 years",56000,"Males"
2013,"55 to 64 years",35600,"Females"
2013,"65 years and over",31700,"Both sexes"
2013,"65 years and over",39700,"Males"
2013,"65 years and over",27100,"Females"
2014,"15 years and over",39800,"Both sexes"
2014,"15 years and over",48300,"Males"
2014,"15 years and over",32400,"Females"
2014,"15 to 24 years",12300,"Both sexes"
2014,"15 to 24 years",13300,"Males"
2014,"15 to 24 years",11900,"Females"
2014,"25 to 54 years",50000,"Both sexes"
2014,"25 to 54 years",59400,"Males"
2014,"25 to 54 years",42500,"Females"
2014,"25 to 34 years",41800,"Both sexes"
2014,"25 to 34 years",48700,"Males"
2014,"25 to 34 years",36500,"Females"
2014,"35 to 44 years",56100,"Both sexes"
2014,"35 to 44 years",67600,"Males"
2014,"35 to 44 years",47500,"Females"
2014,"45 to 54 years",53100,"Both sexes"
2014,"45 to 54 years",65900,"Males"
2014,"45 to 54 years",44600,"Females"
2014,"55 to 64 years",46900,"Both sexes"
2014,"55 to 64 years",58000,"Males"
2014,"55 to 64 years",37700,"Females"
2014,"65 years and over",31900,"Both sexes"
2014,"65 years and over",40700,"Males"
2014,"65 years and over",26800,"Females"
2015,"15 years and over",39500,"Both sexes"
2015,"15 years and over",48000,"Males"
2015,"15 years and over",32800,"Females"
2015,"15 to 24 years",13200,"Both sexes"
2015,"15 to 24 years",14000,"Males"
2015,"15 to 24 years",12300,"Females"
2015,"25 to 54 years",51200,"Both sexes"
2015,"25 to 54 years",60500,"Males"
2015,"25 to 54 years",42800,"Females"
2015,"25 to 34 years",44400,"Both sexes"
2015,"25 to 34 years",50700,"Males"
2015,"25 to 34 years",38800,"Females"
2015,"35 to 44 years",56100,"Both sexes"
2015,"35 to 44 years",67700,"Males"
2015,"35 to 44 years",46600,"Females"
2015,"45 to 54 years",54500,"Both sexes"
2015,"45 to 54 years",66100,"Males"
2015,"45 to 54 years",44700,"Females"
2015,"55 to 64 years",46600,"Both sexes"
2015,"55 to 64 years",55700,"Males"
2015,"55 to 64 years",38200,"Females"
2015,"65 years and over",31800,"Both sexes"
2015,"65 years and over",39800,"Males"
2015,"65 years and over",27300,"Females"
2016,"15 years and over",39700,"Both sexes"
2016,"15 years and over",47200,"Males"
2016,"15 years and over",33300,"Females"
2016,"15 to 24 years",14000,"Both sexes"
2016,"15 to 24 years",13900,"Males"
2016,"15 to 24 years",14000,"Females"
2016,"25 to 54 years",50800,"Both sexes"
2016,"25 to 54 years",59700,"Males"
2016,"25 to 54 years",43800,"Females"
2016,"25 to 34 years",43900,"Both sexes"
2016,"25 to 34 years",48800,"Males"
2016,"25 to 34 years",39100,"Females"
2016,"35 to 44 years",54600,"Both sexes"
2016,"35 to 44 years",65300,"Males"
2016,"35 to 44 years",46500,"Females"
2016,"45 to 54 years",55100,"Both sexes"
2016,"45 to 54 years",67000,"Males"
2016,"45 to 54 years",45800,"Females"
2016,"55 to 64 years",45700,"Both sexes"
2016,"55 to 64 years",55700,"Males"
2016,"55 to 64 years",37300,"Females"
2016,"65 years and over",31700,"Both sexes"
2016,"65 years and over",39100,"Males"
2016,"65 years and over",27300,"Females"
2017,"15 years and over",40600,"Both sexes"
2017,"15 years and over",48400,"Males"
2017,"15 years and over",34300,"Females"
2017,"15 to 24 years",13400,"Both sexes"
2017,"15 to 24 years",13700,"Males"
2017,"15 to 24 years",13300,"Females"
2017,"25 to 54 years",51700,"Both sexes"
2017,"25 to 54 years",59700,"Males"
2017,"25 to 54 years",45200,"Females"
2017,"25 to 34 years",44500,"Both sexes"
2017,"25 to 34 years",50300,"Males"
2017,"25 to 34 years",39200,"Females"
2017,"35 to 44 years",55800,"Both sexes"
2017,"35 to 44 years",65500,"Males"
2017,"35 to 44 years",48300,"Females"
2017,"45 to 54 years",57000,"Both sexes"
2017,"45 to 54 years",67600,"Males"
2017,"45 to 54 years",49400,"Females"
2017,"55 to 64 years",48100,"Both sexes"
2017,"55 to 64 years",58300,"Males"
2017,"55 to 64 years",38800,"Females"
2017,"65 years and over",32900,"Both sexes"
2017,"65 years and over",41500,"Males"
2017,"65 years and over",27600,"Females"
2018,"15 years and over",41000,"Both sexes"
2018,"15 years and over",48400,"Males"
2018,"15 years and over",34700,"Females"
2018,"15 to 24 years",14300,"Both sexes"
2018,"15 to 24 years",14900,"Males"
2018,"15 to 24 years",13600,"Females"
2018,"25 to 54 years",52400,"Both sexes"
2018,"25 to 54 years",61200,"Males"
2018,"25 to 54 years",45700,"Females"
2018,"25 to 34 years",44800,"Both sexes"
2018,"25 to 34 years",50900,"Males"
2018,"25 to 34 years",39700,"Females"
2018,"35 to 44 years",57600,"Both sexes"
2018,"35 to 44 years",68000,"Males"
2018,"35 to 44 years",49900,"Females"
2018,"45 to 54 years",57000,"Both sexes"
2018,"45 to 54 years",68300,"Males"
2018,"45 to 54 years",48100,"Females"
2018,"55 to 64 years",47100,"Both sexes"
2018,"55 to 64 years",57200,"Males"
2018,"55 to 64 years",39000,"Females"
2018,"65 years and over",33200,"Both sexes"
2018,"65 years and over",41600,"Males"
2018,"65 years and over",28400,"Females"
2019,"15 years and over",41800,"Both sexes"
2019,"15 years and over",48800,"Males"
2019,"15 years and over",35900,"Females"
2019,"15 to 24 years",14500,"Both sexes"
2019,"15 to 24 years",14900,"Males"
2019,"15 to 24 years",14000,"Females"
2019,"25 to 54 years",53900,"Both sexes"
2019,"25 to 54 years",62300,"Males"
2019,"25 to 54 years",47900,"Females"
2019,"25 to 34 years",46500,"Both sexes"
2019,"25 to 34 years",50700,"Males"
2019,"25 to 34 years",42400,"Females"
2019,"35 to 44 years",58600,"Both sexes"
2019,"35 to 44 years",68400,"Males"
2019,"35 to 44 years",51500,"Females"
2019,"45 to 54 years",59300,"Both sexes"
2019,"45 to 54 years",71800,"Males"
2019,"45 to 54 years",50600,"Females"
2019,"55 to 64 years",46500,"Both sexes"
2019,"55 to 64 years",56800,"Males"
2019,"55 to 64 years",37800,"Females"
2019,"65 years and over",33200,"Both sexes"
2019,"65 years and over",40300,"Males"
2019,"65 years and over",28600,"Females"
2020,"15 years and over",43600,"Both sexes"
2020,"15 years and over",49700,"Males"
2020,"15 years and over",38400,"Females"
2020,"15 to 24 years",20600,"Both sexes"
2020,"15 to 24 years",21900,"Males"
2020,"15 to 24 years",19300,"Females"
2020,"25 to 54 years",55100,"Both sexes"
2020,"25 to 54 years",61700,"Males"
2020,"25 to 54 years",49900,"Females"
2020,"25 to 34 years",47700,"Both sexes"
2020,"25 to 34 years",51400,"Males"
2020,"25 to 34 years",44700,"Females"
2020,"35 to 44 years",60500,"Both sexes"
2020,"35 to 44 years",69000,"Males"
2020,"35 to 44 years",54400,"Females"
2020,"45 to 54 years",59500,"Both sexes"
2020,"45 to 54 years",70300,"Males"
2020,"45 to 54 years",51900,"Females"
2020,"55 to 64 years",48400,"Both sexes"
2020,"55 to 64 years",57200,"Males"
2020,"55 to 64 years",41200,"Females"
2020,"65 years and over",35500,"Both sexes"
2020,"65 years and over",43300,"Males"
2020,"65 years and over",30100,"Females"
2021,"15 years and over",44000,"Both sexes"
2021,"15 years and over",50200,"Males"
2021,"15 years and over",38900,"Females"
2021,"15 to 24 years",17500,"Both sexes"
2021,"15 to 24 years",17700,"Males"
2021,"15 to 24 years",17300,"Females"
2021,"25 to 54 years",55900,"Both sexes"
2021,"25 to 54 years",64000,"Males"
2021,"25 to 54 years",50700,"Females"
2021,"25 to 34 years",50000,"Both sexes"
2021,"25 to 34 years",53800,"Males"
2021,"25 to 34 years",47200,"Females"
2021,"35 to 44 years",61100,"Both sexes"
2021,"35 to 44 years",70200,"Males"
2021,"35 to 44 years",53800,"Females"
2021,"45 to 54 years",59300,"Both sexes"
2021,"45 to 54 years",70500,"Males"
2021,"45 to 54 years",51600,"Females"
2021,"55 to 64 years",49500,"Both sexes"
2021,"55 to 64 years",58900,"Males"
2021,"55 to 64 years",40800,"Females"
2021,"65 years and over",35300,"Both sexes"
2021,"65 years and over",42800,"Males"
2021,"65 years and over",30000,"Females"
2022,"15 years and over",43100,"Both sexes"
2022,"15 years and over",49800,"Males"
2022,"15 years and over",37700,"Females"
2022,"15 to 24 years",15600,"Both sexes"
2022,"15 to 24 years",15900,"Males"
2022,"15 to 24 years",15400,"Females"
2022,"25 to 54 years",55300,"Both sexes"
2022,"25 to 54 years",62700,"Males"
2022,"25 to 54 years",49900,"Females"
2022,"25 to 34 years",48100,"Both sexes"
2022,"25 to 34 years",52100,"Males"
2022,"25 to 34 years",44900,"Females"
2022,"35 to 44 years",60300,"Both sexes"
2022,"35 to 44 years",68900,"Males"
2022,"35 to 44 years",52800,"Females"
2022,"45 to 54 years",60400,"Both sexes"
2022,"45 to 54 years",70900,"Males"
2022,"45 to 54 years",52900,"Females"
2022,"55 to 64 years",48900,"Both sexes"
2022,"55 to 64 years",58100,"Males"
2022,"55 to 64 years",41100,"Females"
2022,"65 years and over",34600,"Both sexes"
2022,"65 years and over",41700,"Males"
2022,"65 years and over",29800,"Females"
