"Year","Age.group","Value","Sex"
1981,"45 to 54 years",49900,"Both sexes"
1981,"45 to 54 years",68900,"Males"
1981,"45 to 54 years",28300,"Females"
1981,"55 to 64 years",39400,"Both sexes"
1981,"55 to 64 years",57300,"Males"
1981,"55 to 64 years",19100,"Females"
1981,"65 years and over",19800,"Both sexes"
1981,"65 years and over",24700,"Males"
1981,"65 years and over",17400,"Females"
1982,"15 years and over",33600,"Both sexes"
1982,"15 years and over",48200,"Males"
1982,"15 years and over",22200,"Females"
1982,"15 to 24 years",16400,"Both sexes"
1982,"15 to 24 years",18100,"Males"
1982,"15 to 24 years",14700,"Females"
1982,"25 to 54 years",46800,"Both sexes"
1982,"25 to 54 years",63000,"Males"
1982,"25 to 54 years",30600,"Females"
1982,"25 to 34 years",44100,"Both sexes"
1982,"25 to 34 years",56000,"Males"
1982,"25 to 34 years",32000,"Females"
1982,"35 to 44 years",51100,"Both sexes"
1982,"35 to 44 years",70400,"Males"
1982,"35 to 44 years",30400,"Females"
1982,"45 to 54 years",48600,"Both sexes"
1982,"45 to 54 years",68300,"Males"
1982,"45 to 54 years",28000,"Females"
1982,"55 to 64 years",37700,"Both sexes"
1982,"55 to 64 years",56300,"Males"
1982,"55 to 64 years",19300,"Females"
1982,"65 years and over",20500,"Both sexes"
1982,"65 years and over",26900,"Males"
1982,"65 years and over",18000,"Females"
1983,"15 years and over",31800,"Both sexes"
1983,"15 years and over",46800,"Males"
1983,"15 years and over",21000,"Females"
1983,"15 to 24 years",13900,"Both sexes"
1983,"15 to 24 years",16400,"Males"
1983,"15 to 24 years",11900,"Females"
1983,"25 to 54 years",46700,"Both sexes"
1983,"25 to 54 years",61500,"Males"
1983,"25 to 54 years",30300,"Females"
1983,"25 to 34 years",43000,"Both sexes"
1983,"25 to 34 years",53700,"Males"
1983,"25 to 34 years",31400,"Females"
1983,"35 to 44 years",50700,"Both sexes"
1983,"35 to 44 years",68700,"Males"
1983,"35 to 44 years",31700,"Females"
1983,"45 to 54 years",47400,"Both sexes"
1983,"45 to 54 years",66800,"Males"
1983,"45 to 54 years",24700,"Females"
1983,"55 to 64 years",37000,"Both sexes"
1983,"55 to 64 years",57000,"Males"
1983,"55 to 64 years",19000,"Females"
1983,"65 years and over",20300,"Both sexes"
1983,"65 years and over",26400,"Males"
1983,"65 years and over",17600,"Females"
1984,"15 years and over",31800,"Both sexes"
1984,"15 years and over",45500,"Males"
1984,"15 years and over",22400,"Females"
1984,"15 to 24 years",15000,"Both sexes"
1984,"15 to 24 years",16300,"Males"
1984,"15 to 24 years",13700,"Females"
1984,"25 to 54 years",45700,"Both sexes"
1984,"25 to 54 years",61200,"Males"
1984,"25 to 54 years",30500,"Females"
1984,"25 to 34 years",42400,"Both sexes"
1984,"25 to 34 years",54000,"Males"
1984,"25 to 34 years",31300,"Females"
1984,"35 to 44 years",50600,"Both sexes"
1984,"35 to 44 years",68900,"Males"
1984,"35 to 44 years",32200,"Females"
1984,"45 to 54 years",46000,"Both sexes"
1984,"45 to 54 years",63800,"Males"
1984,"45 to 54 years",26700,"Females"
1984,"55 to 64 years",34900,"Both sexes"
1984,"55 to 64 years",52900,"Males"
1984,"55 to 64 years",19200,"Females"
1984,"65 years and over",21300,"Both sexes"
1984,"65 years and over",26800,"Males"
1984,"65 years and over",18700,"Females"
1985,"15 years and over",32600,"Both sexes"
1985,"15 years and over",46600,"Males"
1985,"15 years and over",22800,"Females"
1985,"15 to 24 years",14600,"Both sexes"
1985,"15 to 24 years",16400,"Males"
1985,"15 to 24 years",13200,"Females"
1985,"25 to 54 years",45900,"Both sexes"
1985,"25 to 54 years",61300,"Males"
1985,"25 to 54 years",31300,"Females"
1985,"25 to 34 years",42600,"Both sexes"
1985,"25 to 34 years",53400,"Males"
1985,"25 to 34 years",32000,"Females"
1985,"35 to 44 years",51100,"Both sexes"
1985,"35 to 44 years",70400,"Males"
1985,"35 to 44 years",32900,"Females"
1985,"45 to 54 years",47100,"Both sexes"
1985,"45 to 54 years",67200,"Males"
1985,"45 to 54 years",27600,"Females"
1985,"55 to 64 years",34700,"Both sexes"
1985,"55 to 64 years",52200,"Males"
1985,"55 to 64 years",19600,"Females"
1985,"65 years and over",22200,"Both sexes"
1985,"65 years and over",27900,"Males"
1985,"65 years and over",19900,"Females"
1986,"15 years and over",33500,"Both sexes"
1986,"15 years and over",47000,"Males"
1986,"15 years and over",23500,"Females"
1986,"15 to 24 years",15200,"Both sexes"
1986,"15 to 24 years",16500,"Males"
1986,"15 to 24 years",13800,"Females"
1986,"25 to 54 years",46800,"Both sexes"
1986,"25 to 54 years",62200,"Males"
1986,"25 to 54 years",32400,"Females"
1986,"25 to 34 years",43200,"Both sexes"
1986,"25 to 34 years",54000,"Males"
1986,"25 to 34 years",32600,"Females"
1986,"35 to 44 years",51600,"Both sexes"
1986,"35 to 44 years",70200,"Males"
1986,"35 to 44 years",33900,"Females"
1986,"45 to 54 years",50100,"Both sexes"
1986,"45 to 54 years",69400,"Males"
1986,"45 to 54 years",29900,"Females"
1986,"55 to 64 years",36000,"Both sexes"
1986,"55 to 64 years",54300,"Males"
1986,"55 to 64 years",20600,"Females"
1986,"65 years and over",22400,"Both sexes"
1986,"65 years and over",28100,"Males"
1986,"65 years and over",20100,"Females"
1987,"15 years and over",33800,"Both sexes"
1987,"15 years and over",47300,"Males"
1987,"15 years and over",24000,"Females"
1987,"15 to 24 years",15000,"Both sexes"
1987,"15 to 24 years",16700,"Males"
1987,"15 to 24 years",13200,"Females"
1987,"25 to 54 years",46600,"Both sexes"
1987,"25 to 54 years",62000,"Males"
1987,"25 to 54 years",32900,"Females"
1987,"25 to 34 years",42600,"Both sexes"
1987,"25 to 34 years",53000,"Males"
1987,"25 to 34 years",32800,"Females"
1987,"35 to 44 years",51300,"Both sexes"
1987,"35 to 44 years",70600,"Males"
1987,"35 to 44 years",34200,"Females"
1987,"45 to 54 years",50700,"Both sexes"
1987,"45 to 54 years",69400,"Males"
1987,"45 to 54 years",29900,"Females"
1987,"55 to 64 years",36200,"Both sexes"
1987,"55 to 64 years",54700,"Males"
1987,"55 to 64 years",20600,"Females"
1987,"65 years and over",23000,"Both sexes"
1987,"65 years and over",28700,"Males"
1987,"65 years and over",20700,"Females"
1988,"15 years and over",35400,"Both sexes"
1988,"15 years and over",49000,"Males"
1988,"15 years and over",24600,"Females"
1988,"15 to 24 years",15400,"Both sexes"
1988,"15 to 24 years",17000,"Males"
1988,"15 to 24 years",14200,"Females"
1988,"25 to 54 years",47500,"Both sexes"
1988,"25 to 54 years",63600,"Males"
1988,"25 to 54 years",34000,"Females"
1988,"25 to 34 years",43000,"Both sexes"
1988,"25 to 34 years",54200,"Males"
1988,"25 to 34 years",33200,"Females"
1988,"35 to 44 years",52400,"Both sexes"
1988,"35 to 44 years",71100,"Males"
1988,"35 to 44 years",35700,"Females"
1988,"45 to 54 years",51200,"Both sexes"
1988,"45 to 54 years",69000,"Males"
1988,"45 to 54 years",32900,"Females"
1988,"55 to 64 years",38300,"Both sexes"
1988,"55 to 64 years",55400,"Males"
1988,"55 to 64 years",21200,"Females"
1988,"65 years and over",23100,"Both sexes"
1988,"65 years and over",29600,"Males"
1988,"65 years and over",20300,"Females"
1989,"15 years and over",36400,"Both sexes"
1989,"15 years and over",49800,"Males"
1989,"15 years and over",26500,"Females"
1989,"15 to 24 years",16600,"Both sexes"
1989,"15 to 24 years",18700,"Males"
1989,"15 to 24 years",14800,"Females"
1989,"25 to 54 years",48100,"Both sexes"
1989,"25 to 54 years",62700,"Males"
1989,"25 to 54 years",35300,"Females"
1989,"25 to 34 years",43000,"Both sexes"
1989,"25 to 34 years",53400,"Males"
1989,"25 to 34 years",34100,"Females"
1989,"35 to 44 years",52700,"Both sexes"
1989,"35 to 44 years",70500,"Males"
1989,"35 to 44 years",37400,"Females"
1989,"45 to 54 years",51100,"Both sexes"
1989,"45 to 54 years",69900,"Males"
1989,"45 to 54 years",34200,"Females"
1989,"55 to 64 years",38200,"Both sexes"
1989,"55 to 64 years",55100,"Males"
1989,"55 to 64 years",21000,"Females"
1989,"65 years and over",24200,"Both sexes"
1989,"65 years and over",31100,"Males"
1989,"65 years and over",21000,"Females"
1990,"15 years and over",35000,"Both sexes"
1990,"15 years and over",48100,"Males"
1990,"15 years and over",25500,"Females"
1990,"15 to 24 years",13500,"Both sexes"
1990,"15 to 24 years",14300,"Males"
1990,"15 to 24 years",12700,"Females"
1990,"25 to 54 years",46400,"Both sexes"
1990,"25 to 54 years",60100,"Males"
1990,"25 to 54 years",33800,"Females"
1990,"25 to 34 years",41800,"Both sexes"
1990,"25 to 34 years",52100,"Males"
1990,"25 to 34 years",32500,"Females"
1990,"35 to 44 years",50200,"Both sexes"
1990,"35 to 44 years",65900,"Males"
1990,"35 to 44 years",35900,"Females"
1990,"45 to 54 years",50100,"Both sexes"
1990,"45 to 54 years",69400,"Males"
1990,"45 to 54 years",32300,"Females"
1990,"55 to 64 years",37400,"Both sexes"
1990,"55 to 64 years",52800,"Males"
1990,"55 to 64 years",21300,"Females"
1990,"65 years and over",25200,"Both sexes"
1990,"65 years and over",31300,"Males"
1990,"65 years and over",22000,"Females"
1991,"15 years and over",33300,"Both sexes"
1991,"15 years and over",45400,"Males"
1991,"15 years and over",24900,"Females"
1991,"15 to 24 years",12800,"Both sexes"
1991,"15 to 24 years",13500,"Males"
1991,"15 to 24 years",12100,"Females"
1991,"25 to 54 years",44900,"Both sexes"
1991,"25 to 54 years",57500,"Males"
1991,"25 to 54 years",32900,"Females"
1991,"25 to 34 years",39900,"Both sexes"
1991,"25 to 34 years",48400,"Males"
1991,"25 to 34 years",31700,"Females"
1991,"35 to 44 years",48800,"Both sexes"
1991,"35 to 44 years",63900,"Males"
1991,"35 to 44 years",34700,"Females"
1991,"45 to 54 years",49400,"Both sexes"
1991,"45 to 54 years",66500,"Males"
1991,"45 to 54 years",32900,"Females"
1991,"55 to 64 years",35100,"Both sexes"
1991,"55 to 64 years",49100,"Males"
1991,"55 to 64 years",20300,"Females"
1991,"65 years and over",24600,"Both sexes"
1991,"65 years and over",30500,"Males"
1991,"65 years and over",21400,"Females"
1992,"15 years and over",33300,"Both sexes"
1992,"15 years and over",44400,"Males"
1992,"15 years and over",25100,"Females"
1992,"15 to 24 years",11900,"Both sexes"
1992,"15 to 24 years",12600,"Males"
1992,"15 to 24 years",11100,"Females"
1992,"25 to 54 years",45100,"Both sexes"
1992,"25 to 54 years",56900,"Males"
1992,"25 to 54 years",34100,"Females"
1992,"25 to 34 years",39900,"Both sexes"
1992,"25 to 34 years",47600,"Males"
1992,"25 to 34 years",32700,"Females"
1992,"35 to 44 years",49000,"Both sexes"
1992,"35 to 44 years",64000,"Males"
1992,"35 to 44 years",36400,"Females"
1992,"45 to 54 years",49600,"Both sexes"
1992,"45 to 54 years",64600,"Males"
1992,"45 to 54 years",32900,"Females"
1992,"55 to 64 years",33800,"Both sexes"
1992,"55 to 64 years",48400,"Males"
1992,"55 to 64 years",20200,"Females"
1992,"65 years and over",25100,"Both sexes"
1992,"65 years and over",32300,"Males"
1992,"65 years and over",21700,"Females"
1993,"15 years and over",32500,"Both sexes"
1993,"15 years and over",42900,"Males"
1993,"15 years and over",25100,"Females"
1993,"15 to 24 years",11800,"Both sexes"
1993,"15 to 24 years",12700,"Males"
1993,"15 to 24 years",11000,"Females"
1993,"25 to 54 years",43000,"Both sexes"
1993,"25 to 54 years",54400,"Males"
1993,"25 to 54 years",33400,"Females"
1993,"25 to 34 years",38100,"Both sexes"
1993,"25 to 34 years",46200,"Males"
1993,"25 to 34 years",31300,"Females"
1993,"35 to 44 years",46700,"Both sexes"
1993,"35 to 44 years",60100,"Males"
1993,"35 to 44 years",36100,"Females"
1993,"45 to 54 years",47000,"Both sexes"
1993,"45 to 54 years",63300,"Males"
1993,"45 to 54 years",33200,"Females"
1993,"55 to 64 years",33500,"Both sexes"
1993,"55 to 64 years",48400,"Males"
1993,"55 to 64 years",20100,"Females"
1993,"65 years and over",24800,"Both sexes"
1993,"65 years and over",32500,"Males"
1993,"65 years and over",21500,"Females"
1994,"15 years and over",32300,"Both sexes"
1994,"15 years and over",43600,"Males"
1994,"15 years and over",25000,"Females"
1994,"15 to 24 years",11800,"Both sexes"
1994,"15 to 24 years",12700,"Males"
1994,"15 to 24 years",10900,"Females"
1994,"25 to 54 years",44100,"Both sexes"
1994,"25 to 54 years",55800,"Males"
1994,"25 to 54 years",33400,"Females"
1994,"25 to 34 years",38700,"Both sexes"
1994,"25 to 34 years",46500,"Males"
1994,"25 to 34 years",31100,"Females"
1994,"35 to 44 years",47600,"Both sexes"
1994,"35 to 44 years",61800,"Males"
1994,"35 to 44 years",35300,"Females"
1994,"45 to 54 years",47600,"Both sexes"
1994,"45 to 54 years",63500,"Males"
1994,"45 to 54 years",34000,"Females"
1994,"55 to 64 years",31800,"Both sexes"
1994,"55 to 64 years",46000,"Males"
1994,"55 to 64 years",19500,"Females"
1994,"65 years and over",25500,"Both sexes"
1994,"65 years and over",33400,"Males"
1994,"65 years and over",22200,"Females"
1995,"15 years and over",32700,"Both sexes"
1995,"15 years and over",43200,"Males"
1995,"15 years and over",25100,"Females"
1995,"15 to 24 years",11500,"Both sexes"
1995,"15 to 24 years",12100,"Males"
1995,"15 to 24 years",10900,"Females"
1995,"25 to 54 years",43400,"Both sexes"
